company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Joybynature,Natural Resources,Organic,New Delhi,Delhi,Joybynature is an online shopping and retail store selling natural and organic products.,110016,$1M to $10M,2013,www.joybynature.com,1,Shailesh Mehta,,51-100,1,Seed,"Jul 21, 2015","$ 10,00,000.00",Angel,"$ 10,00,000.00",Mumbai Angels,Abhimanyu Munjal,Contrarian Drishti Partners,Laksh Vaaman Sehgal,,4
MyRefers,Analytics,Big Data,New Delhi,Delhi,Referral based marketplace for jobs powered by social big data intelligence,110019,—,2012,www.myrefers.com,4,Avnish Anand,Kashish Bhagia,Nov-50,2,Seed,"Oct 15, 2014","$ 4,00,000.00",Angel,"$ 6,00,000.00",Bedrock Venture Management,,,,,1
Our Family Clinic,Health Care,Health Diagnostics,Ernakulam,Kerala,"Our Family Clinic is a healthcare solutions center that offers senior citizen care, home healthcare, and diagnostic laboratory.",—,—,"Apr 14, 2013",www.ourfamilyclinic.org,1,Shamnad N.,,Nov-50,1,Seed,"Nov 1, 2015","₹ 3,00,00,000.00",Pre-Seed,"₹ 3,00,00,000.00",Acumen,,,,,1
Don’t Memorise,E-Learning,Education,Mumbai,Maharashtra,Don’t Memorise is a captivating educational videos Company,—,$1M to $10M,2013,dontmemorise.com/,1,Ganesh Pai,,Nov-50,1,M&A,"Sep 12, 2019","₹ 3,00,000.00",Seed,"₹ 3,00,000.00",Edupreneur Village Fund,,,,,1
Callforloans™,Banking,Finance,Bangalore,Karnataka,Callforloans™ is a online portal & We have a team of experienced financial consultants who have serviced nearly 6400 customers.,560 024,$1M to $10M,"Jan 5, 2011",www.callforloans.co.in/,1,Shyamsundar Yaligar,,Nov-50,1,Seed,"Apr 27, 2016","₹ 70,00,000.00",Seed,"₹ 70,00,000.00",,,,,,—
CloudCodes,Cyber Security,Enterprise Software,Pune,Maharashtra,CloudCodes provides Cloud Access Security Broker(CASB) solution.,411027,—,"Nov 21, 2011",www.cloudcodes.com,3,Anuraag Singh,Debasish Pramanik,Nov-50,2,M&A,"Feb 1, 2016","$ 2,50,000.00",Seed,"$ 3,50,000.00",,,,,,—
Drishti Eye Care,Fitness,Health Care,Bangalore,Karnataka,Drishti is a social impact enterprise that provides affordable eye care in under-served markets.,—,—,Dec-11,drishticare.org/,3,Anjali Joshi,Kiran Anandampillai,Nov-50,4,Late Stage Venture,"Jun 11, 2019","$ 40,00,000.00",Series C,"$ 43,66,997.00",Lok Capital,Insitor Partners,Entrust Family Office,Nandan Nilekani,,4
Reach App,Apps,Digital Media,New Delhi,Delhi,Reach is a cross platform mobile application which gives you access to files across the mobiles and tablets of your friends.,—,$1M to $10M,2014,letsreach.co/,4,Abhay Pruthi,Akshay Pruthi,01-Oct,1,M&A,"Mar 7, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",Ankur Warikoo,Rebright Partners,Sol Primero,,,3
IncubateHub,Information Technology,Software,Bengaluru,Karnataka,IncubateHub is an integrated SAAS platform.,560071,—,2014,incubatehub.com/,3,Pradeep V,Rajiv Mukherjee,Nov-50,1,Seed,"Jan 10, 2020","$ 6,50,000.00",Seed,"$ 6,50,000.00",Venture Catalysts,,,,,1
Swipe Telecom,Computer,Electronics,Pune,Maharashtra,"Swipe Telecom India Pvt Ltd. manufactures tablet computers. Swipe Telecom India Pvt Ltd. is based in Pune, India.",411001,$1M to $10M,Jul-12,swipetelecom.com,1,Shripal Gandhi,,51-100,1,—,"Apr 16, 2014","$ 49,76,700.00",Venture - Series Unknown,"$ 49,76,700.00",Kalaari Capital,,,,,1
Pickingo,B2B,Delivery,Gurgaon,Haryana,Pickingo is an on demand B2B hyperlocal delivery service,—,$1M to $10M,2014,pickingo.com/,3,Atul Mittal,Piyush Sharma,51-100,1,M&A,"Aug 4, 2015","$ 13,00,000.00",Seed,"$ 13,00,000.00",Orios Venture Partners,Zishaan Hayath,,,,2
My Taxi India,Internet,Public Transportation,Gurgaon,Haryana,MyTaxiIndia.com is India's largest Car/Taxi/Cab rental company. MyTaxiIndia.com is operating in 115 cities with 5000 vehicles.,122001,$1M to $10M,"Dec 11, 2013",www.mytaxiindia.com,3,Anshuman Mihir,Mohit Rajpal,Nov-50,3,Seed,"Feb 28, 2017",—,Seed,"$ 15,00,000.00",GHV Accelerator,Nihon Kotsu,,,,2
Impact Guru,Creative Agency,Crowdfunding,Mumbai,Maharashtra,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",400004,—,2014,www.impactguru.com/,2,Khushboo Jain,Piyush Jain,Nov-50,6,Seed,"Mar 6, 2020",—,Seed,"$ 45,00,000.00",Venture Catalysts,Apollo Hospitals Enterprise,Shorooq Partners,RB Investments Pte. Ltd.,Alta Group,7
Makkajai,Children,E-Learning,Pune,Maharashtra,Makkajai makes math learning fun for kids.,411027,$1M to $10M,2014,www.makkajai.com/,4,Abhishek Awadhani,Deep Shah,Nov-50,1,Seed,"Aug 16, 2016","$ 2,00,000.00",Seed,"$ 2,00,000.00",Mekin Maheshwari,Anand Chandrasekaran,Ananth Narayanan,,,3
Syona,Beauty,Cosmetics,Chennai,Tamil Nadu,Syona Cosmetics offers beauty products and training services to salons and spas.,—,$1M to $10M,2012,www.syonacosmetics.com/,2,Anuradha Balasubramanian,Raja Varatharaju,Nov-50,2,Seed,"Jan 1, 2018",—,Seed,"$ 1,47,994.00",The Chennai Angels,Nimesh Kampani,ANME,OperatorVC,,4
Vebbler,File Sharing,Personalization,Bengaluru,Karnataka,Vebbler is a community-focused application for sharing photos and videos.,560038,Less than $1M,"Jul 23, 2013",vebbler.com,1,Sahil Bhagat,,Nov-50,3,M&A,"Jul 17, 2018",—,Seed,"$ 5,00,000.00",Anupam Mittal,Sharad Sharma,Singapore Angel Network,Pranav Pai,Anurakt Jain,11
S-Ancial Global Solutions Private limited,Association,,Mumbai,Maharashtra,Company works in the investor relations side helping corporate to better its information dissemination to investor.,400086,—,Apr-12,www.s-ancial.com,1,Pradip Seth,,51-100,1,Seed,"Jun 4, 2021","$ 14,00,000.00",Seed,"$ 14,00,000.00",JITO Angel Network,Rahul Mehta,Rank Group,,,3
myCOL,Health Care,Health Insurance,Delhi,Delhi,MyCol gives you a unique feature of providing a personal hospital assistant who is well know with the hospital and its workings.,110030,$1M to $10M,2014,www.mycol.in/,3,Dinesh Tewari,Mudit Kapoor,01-Oct,1,Seed,"Jan 1, 2020","₹ 3,30,00,000.00",Seed,"₹ 3,30,00,000.00",Nexus Venture Partners,,,,,1
Cargo Exchange,Information Technology,Logistics,Hyderabad,Andhra Pradesh,Cargo Exchange is a cloud-based platform that automates end to end transportation activities in the supply chain.,500033,—,2014,cargoexchange.in/,1,Srihari Icharapu,,Nov-50,2,Seed,"May 16, 2017","$ 65,400.00",Seed,"$ 3,04,400.00",Anthill Ventures,,,,,1
ObiNo,Fitness,Health Care,Mumbai,Maharashtra,"ObiNo, India’s 1st Mobile Weight Loss Coach.",400093,$1M to $10M,2012,www.obino.in/,3,Ritu Srivastava,Vishal Soni,Nov-50,2,Seed,"Dec 18, 2015",—,Seed,"$ 30,000.00",RoundGlass Partners,HealthStart,,,,2
Get Stitched,Fashion,Small and Medium Businesses,New Delhi,Delhi,"Get Stitched deliver Women's Ethnic & Bridal wear, Men's Suits, Shirts, Tuxedos & Sherwanis and Corporate dresses.",—,Less than $1M,2014,getstitched.in/,1,Shazia Siddiqui,,01-Oct,1,—,"Dec 4, 2018","₹ 3,00,00,000.00",Venture - Series Unknown,"₹ 3,00,00,000.00",ah! Ventures,SIDBI Venture Capital,,,,2
Scanova,QR Codes,SaaS,Noida,Uttar Pradesh,Scanova is the easiest way businesses can run high performance QR Code campaigns to better engage their customers.,201301,Less than $1M,"Sep 2, 2013",scanova.io,3,Gautam Garg,Mukesh Gupta,Nov-50,1,Seed,"Feb 15, 2015","$ 33,000.00",Seed,"$ 33,000.00",,,,,,—
Hir Infotech Data Mining Solution,Advertising,Analytics,Ahmedabad,Gujarat,"Data Mining, Web Scraping, Data Extraction, Data Analysis, & Outsourcing Service Provider in USA, France",382481,—,"Nov 27, 2013",hirinfotech.com/,2,Brijesh Prajapati,HIRAL PRAJAPATI,Nov-50,1,Seed,"Nov 27, 2017","$ 1,00,000.00",Pre-Seed,"$ 1,00,000.00",HIRAL PRAJAPATI,,,,,1
Qikwell Technologies,Health Care,Information Technology,Bangalore,Karnataka,Qikwell is a startup focused on helping people be healthy and feel well,560008,$1M to $10M,"Sep 15, 2011",qikwell.com,2,Krishna Prasad Chitrapura,Raghavendra Prasad,Nov-50,2,M&A,"Nov 24, 2014","$ 30,00,000.00",Series A,"$ 30,00,000.00",SAIF Partners,Gravitas Securities,,,,2
Let's Recycle,Recycling,Waste Management,Ahmedabad,Gujarat,Let’s Recycle is the largest waste management solution in India.,380 015,—,2012,www.letsrecycle.in/,4,Chirag Nathubhai Patel,Dhrumin Maheshkumar Patel,Nov-50,1,Early Stage Venture,"May 1, 2015","$ 20,00,000.00",Series B,"$ 20,00,000.00",Aavishkaar Venture Capital,,,,,1
Luharia Group,Financial Services,FinTech,Hyderabad,Andhra Pradesh,"Luharia Technologies is a fintech company, which runs peer-to-peer lending platform.",—,—,"Jan 1, 2014",luhariagroup.com/,1,Keerthi Kumar Jain,,Nov-50,2,Seed,"Jun 1, 2017","$ 19,50,000.00",Seed,"$ 19,50,000.00",Digispice Technologies,,,,,1
Farmagain,Agriculture,Farming,Ramanathapuram,Tamil Nadu,Farmagain is an AI-powered precision agriculture farming solutions provider.,641 045,$1M to $10M,2013,www.farmagain.in/,2,Benjamin Raja,Edna Benjamin,Nov-50,1,Seed,"Mar 22, 2021","$ 3,58,000.00",Angel,"$ 3,58,000.00",ELANGO M M,,,,,1
HeyPillow,Internet,Marketplace,Bengaluru,Karnataka,HeyPillow is a leading real estate and rental online marketplace,—,$1M to $10M,2014,www.heypillow.com/,1,Stan Dong,,Nov-50,1,Early Stage Venture,"Nov 19, 2015","$ 30,00,000.00",Series A,"$ 30,00,000.00",Hampton Capital,,,,,1
The Gourmet Jar,Confectionery,Food and Beverage,Noida,Uttar Pradesh,The Gourmet Jar manufactures jams with flavors.,—,—,2012,www.thegourmetjar.com/,2,Apeksha Jain,Rishab Suresh,Nov-50,2,—,"Dec 27, 2021","$ 1,50,000.00",Venture - Series Unknown,"$ 1,50,000.00",DevX,Chandigarh Angels Network,MABS,,,3
Newgen Internet Networks,Beauty,E-Commerce,Mumbai,Maharashtra,Newgen Internet Networks is a Mumbai-based online beauty startup .,400006,$1M to $10M,2012,glamrs.com/,1,Naveen Sadarangani,,Nov-50,1,Seed,"Jun 1, 2015","$ 9,40,000.00",Seed,"$ 9,40,000.00",Blume Ventures,Batlivala & Karani Securities,Ventureworks India,Nikunj Jhaveri,,4
Infinity Reach,Advertising,App Marketing,Hyderabad,Andhra Pradesh,Infinity Reach is a Digital Transformation Company with it's core service being Digital Marketing.,500082,$1M to $10M,"Jan 2, 2012",www.InfinityReach.com,1,Vipul Talari,,Nov-50,1,Seed,"Jan 1, 2015","₹ 20,00,000.00",Angel,"₹ 20,00,000.00",Vipul Talari,,,,,1
SafetyKart Retail,Consumer Goods,E-Commerce,Haryana,Haryana,SafetyKart.com is an e-commerce platform for safety and hygiene products.,122001,$1M to $10M,2013,www.safetykart.com/,2,Partha Sarthi Guha Patra,Vikas Bagaria,Nov-50,1,—,"Apr 12, 2017","$ 10,00,000.00",Venture - Series Unknown,"$ 10,00,000.00",Redcliffe Capital,,,,,1
TripBorn,Leisure,Software,Ahmedabad,Gujarat,Tripborn is a computer software company that offers an influential e-Marketplace platform in the travel industry.,380015,—,2014,www.tripborn.com/en/index.html,2,Deepak Sharma,Sachin Mandloi,101-250,1,Seed,"Jan 11, 2017","$ 4,60,000.00",Seed,"$ 4,60,000.00",,,,,,—
Sensara,Apps,TV Production,Bengaluru,Karnataka,Sensara provides app on clients smartphone to control clients existing set-top box.,560085,—,2014,sensara.co,1,Bharath Kumar Mohan,,Nov-50,1,Seed,"Jan 5, 2016","$ 7,50,000.00",Seed,"$ 7,50,000.00",Lalitesh Katragadda,Ganayantrika Systems,,,,2
Bonhomia,Coffee,Food Processing,Restaurants,Tea,"Boho produces espresso coffee and gourmet teas for homes, offices, and studios.",—,$1M to $10M,Jan-12,boho.bonhomiaworld.com/,2,India,Asia-Pacific (APAC),Nov-50,3,—,"Jun 14, 2016","$ 5,00,000.00",Venture - Series Unknown,"$ 35,00,000.00",Kunal Bhagat,Tuhin Jain,Fireside Ventures,Kanwaljit Singh,Apurva Salarpuria,10
Gamooga,Analytics,Marketing Automation,Hyderabad,Andhra Pradesh,Omni-channel customer engagement platform backed by a powerful predictive analytics engine,500081,Less than $1M,2014,www.gamooga.com/,2,Kishore Annapureddy,Nishitha Nagireddy,Nov-50,1,M&A,"Jan 29, 2016","$ 1,15,000.00",Angel,"$ 1,15,000.00",,,,,,—
PosterGully,Art,E-Commerce,New Delhi,Delhi,Curated Marketplace For Artists & Designers To Showcase & Sell Their Graphic Work Online,110058,Less than $1M,"Mar 1, 2012",www.postergully.com,3,Anuvi Srivastava,Bharat Sethi,01-Oct,1,M&A,"Jun 8, 2015","$ 1,60,000.00",Angel,"$ 1,60,000.00",LetsVenture,Rajesh Sawhney,Virtu Propdeal,Vikram Saxena,Nish Bhutani,8
RezNext,Hospitality,Software,Bangalore,Karnataka,RezNext is the world’s only true Real-Time Distribution Management Solution provider.,560025,$1M to $10M,2012,www.reznext.com/,1,Suresh John,,101-250,1,—,"Dec 8, 2014","$ 50,00,000.00",Venture - Series Unknown,"$ 50,00,000.00",New Enterprise Associates,,,,,1
Shirsa Labs,Education,Gaming,Mumbai,Maharashtra,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,400070,Less than $1M,2013,shirsa.in/,2,Arnab Biswas,Sukhada Tendulkar,Nov-50,2,Seed,"Feb 14, 2018","$ 5,00,000.00",Seed,"$ 7,50,000.00",ah! Ventures,Dewang Neralla,Mahesh Kothurkar,,,3
Whodat,Augmented Reality,Software,Bangalore,Karnataka,"Whodat is an Augmented Reality platform for developers to create beautiful, inclusive AR experiences with markerless technology.",560038,Less than $1M,"May 14, 2013",www.whodat.in,2,Kaushik Das,Sriram Ganesh,Nov-50,2,M&A,"Apr 17, 2017","$ 6,00,000.00",Seed,"$ 6,00,000.00",Ideaspring Capital,Microsoft Accelerator Bangalore,,,,2
FlyBird Innovations,Agriculture,Automotive,Bangalore,Karnataka,"FlyBird Innovations is a leading venture in Avionics, Embedded, Health systems, Automotive, Agricultural domains.",560092,Less than $1M,2013,www.flybirdinnovations.com/,1,Satish KS,,01-Oct,2,Seed,"Jun 20, 2016","$ 1,48,638.00",Seed,"$ 2,23,329.00",Mahindra finance,IIMA Ventures,Artha Group,Rianta Capital,Villgro,7
OM Bhakti,Consumer Goods,Fast-Moving Consumer Goods,Bangalore,Karnataka,OM Bhakti is the first consumer products organised brand in Puja Needs category & is transforming the category into mainstream FMCG.,—,—,"Jul 25, 2012",www.ombhakti.in,2,PRASHANT KULKARNI,Sridhar Joshi,Nov-50,1,Seed,"Mar 13, 2020","$ 2,20,000.00",Seed,"$ 2,20,000.00",Venture Catalysts,,,,,1
Kai - T,Artificial Intelligence (AI),Machine Learning,Gurgaon,Haryana,Bringing intelligence to Technology.,—,—,2013,kamadhenu.co.in/,2,N. Kiran Kumar Kowlgi,Nitin Sahni,Nov-50,1,Seed,"Nov 15, 2019","$ 1,50,000.00",Seed,"$ 1,50,000.00",Nitin Sahni,,,,,1
BookEventz,Event Management,Events,Mumbai,Maharashtra,BookEventz is a India's first Party Venue and Banquet Marketplace platform.,400059,—,"Jan 3, 2013",www.bookeventz.com/,2,Harsh Baid,Shriti Chhajed,Nov-50,5,Early Stage Venture,"Apr 10, 2019",—,Series A,"$ 10,000.00",Mumbai Angels,Equanimity Investments,Girish Mathrubootham,Vijay Shankar,Lead Angels Network,9
EPuja,Consumer,Delivery,Bangalore,Karnataka,EPuja is India’s first online portal that offers access to religious ceremonies and remedy rituals across 3600 temples in India.,560003,—,2014,epuja.co.in/,1,Shiva Kumar,,Nov-50,1,—,"Jun 2, 2015","$ 30,00,000.00",Venture - Series Unknown,"$ 30,00,000.00",Brand Capital,,,,,1
BuyForexOnline,E-Commerce,Financial Services,Bangalore,Karnataka,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,560027,—,2012,buyforexonline.com,1,Ananth Reddy,,Nov-50,1,Seed,"Feb 20, 2018","$ 20,00,000.00",Seed,"$ 20,00,000.00",,,,,,—
Geo Climate Risk Solutions,Information Technology,,New Delhi,Delhi,GCRS’s endeavor is to work towards conserve environment by providing sustainable solutions.,110001,—,2014,gcrs.co.in/,1,Prasad Babu,,01-Oct,1,—,"Apr 26, 2019","₹ 2,00,00,000.00",Venture - Series Unknown,"₹ 2,00,00,000.00",GAIL,,,,,1
SEED Schools,Consulting,Education,Hyderabad,Andhra Pradesh,SEED Schools is a community private schools operating company.,—,$1M to $10M,"Jan 1, 2013",seedschools.in/,1,Harish Mamtani,,Nov-50,1,—,"May 1, 2015","₹ 4,14,00,000.00",Venture - Series Unknown,"₹ 4,14,00,000.00",Acumen,,,,,1
Saggraha Management Services,Financial Services,,Bangalore,Karnataka,Saggraha Management Services is a Bottom of the Pyramid financial services provider,560102,—,2014,saggraha.com/,2,Harish Raghu,Rahul Kasinadhuni,501-1000,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Samridhi Fund,,,,,1
LogFuze,Analytics,Artificial Intelligence (AI),Perungudi,Tamil Nadu,LogFuze is an IoT Analytics Company,600096,—,"Oct 22, 2013",www.logfuze.com,1,Venkadesan Velu,,Nov-50,2,Seed,"Apr 6, 2016","$ 2,50,000.00",Seed,"$ 4,50,000.00",,,,,,—
CaptureSolar Energy,Energy,Renewable Energy,Pune,Maharashtra,Capture Solar is an organization working in the field of ‘Renewable Resource’ based applications.,411058,$50M to $100M,2013,capturesolar.com/,—,,,501-1000,1,—,"Jun 1, 2014","$ 12,50,00,000.00",Venture - Series Unknown,"$ 12,50,00,000.00",Concept Solutions & Innovation,,,,,1
Rajesh LifeSpaces,Construction,Project Management,Mumbai,Maharashtra,Rajesh LifeSpaces celebrates both – their legacy and our ability to create budget homes and future-ready apartments in Mumbai.,400 059,—,2012,www.rajeshlifespaces.com,1,Raghavjibhai Patel,,501-1000,2,—,"Oct 10, 2016","$ 1,49,00,000.00",Venture - Series Unknown,"$ 1,49,00,000.00",Brand Capital,Altico Capital India Private Limited,,,,2
NUOS,Automotive,Internet of Things,Mumbai,Maharashtra,NUOS is a brand with a passion to create IoT products that offer solutions that are beyond smart,400016,—,2014,www.nuos.in,2,Geetica Srivastava,Neil Savant,Nov-50,2,Seed,"Apr 30, 2021","$ 2,50,000.00",Pre-Seed,"$ 2,50,000.00",Newchip Accelerator,,,,,1
The Blue Book,Apps,,Bangalore,Karnataka,Find and avail the best deals at your favourite outlets.,560034,$1M to $10M,2013,www.thebluebook.in/,—,,https://www.crunchbase.com/person/varun-kumar-akula,,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/the-blue-book,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/the-blue-book,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/the-blue-book,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/the-blue-book,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/the-blue-book,",,,,",https://www.crunchbase.com/organization/letsventure,https://www.crunchbase.com/organization/indian-angel-network,https://www.crunchbase.com/organization/tholons-capital,https://www.crunchbase.com/person/rajiv-mehta-3,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/the-blue-book
Geek Mobster - Web Dynamics,Information Technology,Marketing,Ahmedabad,Gujarat,"SOFTWARE, WEB DEVELOPMENT AND CONSULTING",380009,—,"Feb 27, 2012",geekmobster.com/,1,PRATAP SINGH KUSHWAH,,51-100,1,Seed,"Sep 11, 2022","$ 1,50,000.00",Seed,"$ 1,50,000.00",,,,,,—
DeltaX,Advertising,Advertising Platforms,Bangalore,Karnataka,DeltaX is the pioneering cross-channel digital advertising platform.,560034,Less than $1M,2012,deltax.com,2,Akshay Surve,Ravi Kabra,101-250,2,—,"Mar 9, 2015",—,Venture - Series Unknown,—,Microsoft Accelerator,Microsoft Accelerator Bangalore,,,,2
Study Metro Pvt Ltd,Consulting,Education,Bangalore,Karnataka,Study Metro is a professional consultancy firm that helps students make the right overseas education decisions.,560025,—,"Jan 2, 2011",www.studymetro.com/,,,,,,,,,,,,,,,,
therefore,Students,"& Institutions.\"",—,2,https://www.crunchbase.com/person/abbie-bajaj-eb0b,1,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/study-metro-pvt-ltd,Sep 9","2016""",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/study-metro-pvt-ltd,,,,,,,,,,,,,,,,,,,,,
Konotor,Messaging,Mobile,Chennai,Tamil Nadu,Konotor is a mobile-first user engagement platform that adds a 2-way rich messaging inbox inside your app.,—,$1M to $10M,"Aug 1, 2013",konotor.com,3,Deepak Balasubramanyam,Srikrishnan Ganesan,Nov-50,2,M&A,"May 26, 2014","$ 1,25,000.00",Seed,"$ 1,55,000.00",Accel,Qualcomm Ventures,Target Accelerators,,,3
FIB-SOL,Advanced Materials,AgTech,Chennai,Tamil Nadu,FIB-SOL aims to translate advanced material technologies from research to industry.,600096,$1M to $10M,2013,www.fibsol.com/,2,Anant Raheja,Kavitha Sairam,Nov-50,3,Seed,"Jul 15, 2018","$ 2,19,000.00",Seed,"$ 2,35,000.00",Biotechnology Industry Research Assistance Council(BIRAC),IITM Incubation Cell,,,,2
YUHI Hospitality,Food Processing,Hospitality,Gurgaon,Haryana,YUHI is a joint venture between Ahuja Residency Private Limited,122001,$1M to $10M,2012,www.yuhihospitality.com,1,Vivek Bhargava,,Nov-50,1,—,"Nov 6, 2015","$ 1,50,00,000.00",Venture - Series Unknown,"$ 1,50,00,000.00",Chandralekha Construction,,,,,1
Dataweave,Analytics,Big Data,Bangalore,Karnataka,Dataweave empowers Strategic Decision making using data available in public domain.,560070,Less than $1M,"Apr 1, 2011",dataweave.com,2,Karthik Ramesh,Vikranth Ramanolla,51-100,5,—,"Aug 23, 2018",—,Venture - Series Unknown,"$ 2,90,000.00",Blume Ventures,FreakOut Holdings,WaterBridge Ventures,peercheque,Rajan Anandan,11
SmartPocket,Apps,Mobile,Bengaluru,Karnataka,SmartPocket is a mobile wallet to digitize your plastic cards and makes them smart.,—,—,2013,www.smartpocketapp.com,1,Kiran Shastri,,Nov-50,1,M&A,"Feb 2, 2015","$ 2,40,000.00",Venture - Series Unknown,"$ 2,40,000.00",Rajiv Mehta,,,,,1
Neotrade Analytics,Analytics,Financial Services,Bangalore,Karnataka,Neotrade Analytics is an online startup that distributes real-time data to traders.,560078,Less than $1M,"Dec 5, 2013",www.neotradeanalytics.com/,2,Nithin Kamath,Vivith Kumar Lakshminarayan,51-100,1,Seed,"Sep 21, 2015","$ 2,27,000.00",Seed,"$ 2,27,000.00",Rainmatter Capital,,,,,1
Kudos Finance & Investments,Data Visualization,Financial Services,Pune,Maharashtra,Kudos Finance and Investments is a Non-Banking Financial Company (NBFC) formed with a goal to help finance small-scale urban businesses.,411014,—,2014,www.kudosfinance.in/,1,Pavitra Pradip Walvekar,,Nov-50,3,Seed,"Apr 6, 2021",—,Seed,—,Nitin Gupta,Nithin Kamath,Nischal Shetty,Nimesh Kampani,Vaibhav Domkundwar,13
Learnpedia Edutech Pvt Ltd,3D Technology,Digital Media,Hyderabad,Andhra Pradesh,Learnpedia is an edu-tech company that makes learning a fun & fascinating experience for students preparing for various competitive exams.,500034,$1M to $10M,2013,www.learnpedia.in/,2,Deepak Bunde,Krishna Akula,51-100,4,Seed,"Jul 12, 2017","$ 83,600.00",Angel,"$ 4,04,700.00",Ixora Ventures,Raghu Kotrike,Ramakrishna Kancharla,Vijay Kunaparaju,,4
Intern Theory Career Solutions,College Recruiting,Education,Mumbai,Maharashtra,Intern Theory Career Solutions is an internship platform that connects employers to young talents.,400004,Less than $1M,2014,www.interntheory.com,2,Anshini Jhaveri,Vamil Sangoi,01-Oct,1,Seed,"Jan 15, 2015","₹ 43,00,000.00",Seed,"₹ 43,00,000.00",,,,,,—
Indjets Private Limited (India),Aerospace,Air Transportation,New Delhi,Delhi,A full service jet charter operator and B2B2C full stack jet charter platform and booking engine.,110077,—,Feb-12,indjets.com,2,Hemanth Reddy,Sandeep Reddy,Nov-50,2,Private Equity,"Apr 30, 2017","$ 60,00,000.00",Private Equity,"$ 70,00,000.00",Travel Capitalist Ventures **Only Travel/Tourism**,,,,,1
20Dresses,E-Commerce,Lifestyle,Mumbai,Maharashtra,Fashion & Lifestyle Ecommerce Platform,400012,—,"Nov 18, 2011",www.20dresses.com,1,Sumant Kasliwal,,51-100,1,M&A,"Feb 13, 2015","$ 10,00,000.00",Seed,"$ 10,00,000.00",Srinivasa Rao Aluri,Srinivas Modukuri,,,,2
Gympik,Fitness,Nutrition,Bangalore,Karnataka,Gympik is an online marketplace for discovering fitness centers and gyms.,560078,$1M to $10M,2012,www.gympik.com,2,Amaresh Ojha,Karan Malik,Nov-50,2,Seed,"Mar 5, 2016",—,Seed,"$ 1,35,000.00",RoundGlass Partners,HealthStart,Rohan Ajila,Tom Clausen,,4
On the Run,,,Pune,Maharashtra,On the Run makes all-natural food products with no preservatives and no added sugars.,—,—,2014,ontherun.in/,1,Shilpa Phadke,,Nov-50,3,Seed,"Jul 1, 2017","$ 1,05,564.00",Angel,"$ 2,38,595.00",Milind Soman,,,,,1
FreightBazaar,Online Portals,Railroad,Hyderabad,Andhra Pradesh,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,500082,$1M to $10M,2013,freightbazaar.com/,2,Bhaven Shah,Ganesh Rewanwar,Nov-50,6,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 4,85,000.00",Auto Nebula Capital Advisers Private Limited,Omphalos Ventures India.,Nitu Narula,,,3
CityShor,E-Commerce,E-Commerce Platforms,Ahmedabad,Gujarat,"CityShor offers a website that allows its users to find information related to food, fashion, travel, home decorations, events, and more.",—,$1M to $10M,"Dec 27, 2012",www.cityshor.com,2,Pallav Parikh,Pankaj Pathak,01-Oct,1,Seed,"Mar 21, 2016","$ 50,00,000.00",Angel,"$ 50,00,000.00",GAIN,,,,,1
Janus Technologies,,,Chennai,Tamil Nadu,"Janus Technologies is a strategic consultancy and IT solutions partner, providing business value to customers.",600024,Less than $1M,2013,techjanus.com/,—,,,Nov-50,1,—,"Sep 19, 2017","$ 58,00,000.00",Venture - Series Unknown,"$ 58,00,000.00",ST Engineering Ventures Fund,,,,,1
Arnetta Technologies,Agriculture,AgTech,Bengaluru,Karnataka,Arnetta Technologies is a tech-solution startup working in the agritech sector.,560 041,$1M to $10M,"Oct 11, 2012",www.arnettatech.com/,4,Aravinda PR,Jayanth Ghatadahalli,Nov-50,1,Seed,"Apr 28, 2020","₹ 20,00,000.00",Seed,"₹ 20,00,000.00",IIT Mandi Catalyst,,,,,1
VoxWeb,Internet,Mobile Apps,Mumbai,Maharashtra,Personalize your moments by adding your sound to the picture with an Orange Line. We present to you the speaking pictures!,—,—,2014,voxweb.rocks/,1,Yash Mishra,,01-Oct,3,Seed,"Jun 23, 2017","$ 10,00,000.00",Seed,"$ 14,50,000.00",,,,,,—
