company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
Zvolv,SaaS,Software,Pune,Maharashtra,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",411005,$10M to $50M,2018,zvolv.com/,3,Hardik Gandhi,Nov-50,2,—,"Nov 22, 2021","$ 15,00,000.00",Venture - Series Unknown,"$ 15,00,000.00",JSW Ventures,5,Pushkar Prasad,Eagle10 Ventures,Lead Angels Network,Contrarian Drishti Partners,Riso Capital
BodhiAI,Apps,Artificial Intelligence (AI),Jaipur,Rajasthan,BodhiAI is an AI-based Personal Assistant empowering teachers and students.,302015,$1M to $10M,"Apr 20, 2017",www.bodhiai.co.in,5,Bodhi AI,Nov-50,3,Seed,"Oct 21, 2022","$ 2,00,000.00",Angel,"$ 2,70,374.00",JITO Angel Network,7,Piyush Agarwal,Pod,Ivy Growth Associates,Harsh Pokharna,UIncept
Istah - Shawarmas & Grills,Customer Service,E-Commerce,Hyderabad,Andhra Pradesh,Mediterranean Cuisine Food Brand for Millennials,500081,Less than $1M,Apr-17,www.istahgrill.com,2,Abhinav Reddy,01-Oct,1,Seed,"Oct 1, 2017","₹ 74,00,000.00",Seed,"₹ 74,00,000.00",,—,Vasu Reddy,,,,
GoldenPi,Financial Services,FinTech,Bangalore,Karnataka,One stop shop for Bonds and Debentures exclusively.,560102,—,2017,www.goldenpi.com,2,Abhijit Roy,Nov-50,3,Seed,"May 10, 2022","$ 20,00,000.00",Seed,"$ 20,45,811.00",Rainmatter Capital,1,Samir Baran Pratihar,,,,
Natch,Food and Beverage,Food Processing,Mumbai,Maharashtra,Natch is a snack food startup company.,400020,—,2018,natchsnacks.com,—,,01-Oct,1,Seed,"Nov 9, 2023","₹ 3,00,00,000.00",Seed,"₹ 3,00,00,000.00",Artha Venture Fund,2,,DSP Family Office,,,
Zerund,Industrial,Industrial Manufacturing,Guwahati,Assam,Zerund is a manufacturer of lightweight waste plastic brick to the construction industry.,—,$1M to $10M,2018,www.zerund.com/,3,David Gogoi,01-Oct,2,Seed,"Sep 7, 2022","₹ 7,80,00,000.00",Seed,"₹ 7,80,00,000.00",Northeast Venture Fund ( NEVF ),2,Mousum Talukdar,Dreamweaver Investments,,,
SmartDukaan,Mobile,Retail,Noida,Uttar Pradesh,SmartDukaan operates as a smartphone retail chain.,201301,—,2017,www.smartdukaan.com/,—,,51-100,1,Seed,"Jul 10, 2023","$ 1,00,00,000.00",Seed,"$ 1,00,00,000.00",Findoc,2,,Leafberry,,,
BalleBaazi,Gaming,Sports,Delhi,Delhi,BalleBaazi is an Online gaming startup.,110074,$1M to $10M,2018,www.ballebaazi.com/,1,Saurabh Chopra,Nov-50,2,Early Stage Venture,"Aug 5, 2019","$ 40,00,000.00",Series A,"$ 50,00,000.00",Baazi Games,1,,,,,
BebeBurp,E-Commerce,Nutrition,Surat,Gujarat,BebeBurp provides organic baby foods in the form of mixes and cookies.,—,$1M to $10M,2017,bebeburp.com/about-us/,3,Bharat Tibrewal,01-Oct,2,Seed,"Aug 1, 2022","$ 95,000.00",Seed,"$ 3,58,847.00",LetsVenture,23,Chirag Gupta,Sprint Vc,Dholakia Ventures,Ivy Growth Associates,Lead Angels Network
Sugar Watchers,Food Processing,Organic Food,Mumbai,Maharashtra,Sugar Watchers is the manufacturers of Low GI (Glycemic Index) foods.,400009,—,2018,sugarwatchers.in,—,,Nov-50,2,Seed,"May 4, 2023","₹ 3,60,00,000.00",Seed,"₹ 3,60,00,000.00",ah! Ventures,7,,The Chennai Angels,Mumbai Angels,Faad Network,Keiretsu Forum
BlueSemi,Health Care,Internet of Things,Hyderabad,Andhra Pradesh,BlueSemi is a revolution in connected customer-centric Health Tech. They've built EYVA & launched it at CES 2022.,—,$1M to $10M,2017,eyva.io/,1,Sunil Kumar Maddikatla,Nov-50,2,Seed,"Sep 14, 2020","$ 3,00,000.00",Seed,"$ 4,16,000.00",Google,5,,Microsoft,Samsung Ventures,KLA Tencor,Mahesh Reddy
Pepper Content,Content,Content Marketing,Mumbai,Maharashtra,Pepper Content is a content-mediation platform that connects writers to organizations that require content.,400069,—,Oct-17,www.peppercontent.io,2,Anirudh Singla,1001-5000,3,Early Stage Venture,"Jun 8, 2022","₹ 1,10,00,00,000.00",Series A,"$ 1,86,58,353.00",Titan Capital,31,Rishabh Shekhar,YourStory,Bessemer Venture Partners,GTMfund,Lightspeed India Partners
SignalX.ai,Artificial Intelligence (AI),Information Technology,Hyderabad,Andhra Pradesh,SignalX offers an artificial intelligence-powered SaaS platform.,500032,$1M to $10M,2018,signalx.ai/,3,Govind Balachandran,Nov-50,2,Seed,"Nov 24, 2020","$ 8,15,273.00",Seed,"$ 15,65,273.00",9Unicorns Accelerator Fund,2,Piyush Arora,3Lines,,,
Cashflo,Finance,Financial Services,Mumbai,Maharashtra,Cashflo is a finance startup that offers finance automation tools for corporates and SMEs.,400051,$1M to $10M,2018,www.cashflo.io,2,Ankur Bhageria,101-250,2,Early Stage Venture,"Sep 6, 2022","₹ 70,00,00,000.00",Series B,"$ 1,20,61,460.00",General Catalyst,12,Dushyant Agarwal,Elevation Capital,Whiteboard Capital,Nitin Gupta,Jitendra Gupta
Ishitva Robotic Systems,Artificial Intelligence (AI),Internet of Things,Ahmedabad,Gujarat,Ishitva Robotics Systems aims at solving the real-world problems of waste by building efficient solutions based on industry 4.0 tools.,380061,—,2018,www.ishitva.in/,2,Jitesh Dadlani,Nov-50,1,Seed,"Oct 8, 2021","$ 10,00,000.00",Seed,"$ 10,00,000.00",Inflection Point Ventures,8,Sandeep Singh,Grp,Sanjay Kamlani,Kamaljyot Investments,Anup Gulati
Nanoclean,E-Commerce,Health Care,Delhi,Delhi,Nanoclean is a nanotechnology startup.,110001,$1M to $10M,2017,nanoclean.store,1,Prateek Sharma,Nov-50,1,Seed,"Feb 13, 2019","₹ 4,20,00,000.00",Seed,"₹ 4,20,00,000.00",91springboard,5,,LetsVenture,The Chennai Angels,Al Nour,Mark V Investments
Ubreathe,CleanTech,Sustainability,Gurgaon,Haryana,Ubreathe develops a smart natural air purifier solution to solve air quality challenges in cities and buildings.,—,—,2018,www.ubreathe.in,4,Akhil Gupta,01-Oct,1,Seed,"Feb 15, 2023","₹ 1,50,00,000.00",Angel,"₹ 1,50,00,000.00",Namita Thapar,1,Akshay Goyal,,,,
Lawyered,Legal,Legal Tech,Gurgaon,Haryana,Lawyered is a legal tech initiative designed to change the way people interact with and within the legal industry.,—,$1M to $10M,2017,www.lawyered.in/,2,Ashish Bhatia,Nov-50,4,Seed,"Sep 1, 2022","$ 10,00,000.00",Seed,"$ 12,50,000.00",India Accelerator,8,Himanshu Gupta,Apoorva Vora,Munish Bhatia,Ashish Jassra,Saby Waraich
Aknamed,Analytics,Health Care,Bengaluru,Karnataka,Aknamed is streamlining the healthcare supply chain in India.,—,$10M to $50M,2018,www.aknamed.com/,3,Mayank Kapoor,51-100,1,M&A,"Apr 6, 2020","$ 70,00,000.00",Series A,"$ 70,00,000.00",,—,Saurabh Pandey,,,,
BigBites,Food and Beverage,,Bangalore,Karnataka,The Food Company of the Future,560071,—,2018,hygienebigbites.com/,—,,501-1000,2,Early Stage Venture,"Mar 17, 2021","$ 1,40,00,000.00",Series A,"$ 1,52,40,000.00",Alpha Wave Global,4,,Rahul Mehta,QED Innovation Labs,Falcon Edge India,
Campus 365,Education,Software,Gurgaon,Haryana,Campus 365 builds educational software to manage schools and colleges.,122016,$1M to $10M,"Jan 1, 2018",www.campus365.io,1,Mayank Singh,Nov-50,1,Seed,"Jan 6, 2022","₹ 2,15,00,000.00",Seed,"₹ 2,15,00,000.00",,—,,,,,
RupeeCircle,Financial Services,FinTech,Mumbai,Maharashtra,RupeeCircle is a new age finance company.,400086,$1M to $10M,2017,www.rupeecircle.com/,4,Abhishek Gandhi,Nov-50,1,Seed,"Jul 19, 2018","₹ 4,00,00,000.00",Seed,"₹ 4,00,00,000.00",Mahindra finance,1,Ajit Kumar,,,,
Voxelgrids,Health Care,Health Diagnostics,Bengaluru,Karnataka,Voxelgrids is an Indian healthtech startup that builds Magnetic Resonance Imaging (MRI) scanners.,560102,—,2017,www.voxelgrids.com/,1,Arjun Arunachalam,Nov-50,1,Early Stage Venture,"Sep 7, 2021","₹ 35,00,00,000.00",Series A,"₹ 35,00,00,000.00",Zoho,1,,,,,
Auric (Zenith Drinks Private Limited),Consumer,E-Commerce,Delhi,Delhi,Beauty & Wellness brand | Functional Foods | Plant based science from India | D2C | Entry point is Beverages,110025,$1M to $10M,"Jan 8, 2018",www.TheAuric.com,1,Deepak Agarwal,01-Oct,2,Seed,"Jun 28, 2021","$ 20,00,000.00",Seed,"$ 21,00,000.00",9Unicorns Accelerator Fund,4,,Venture Catalysts,Air Asia,Karthik Bhat,
AMPM Store,E-Commerce,Food and Beverage,Karnal,Haryana,AMPM Store is an online food and grocery store.,—,—,"Jan 1, 2018",ampmstore.in/,1,Naveen Ghalyan,01-Oct,1,Seed,"Mar 2, 2021","₹ 1,60,00,000.00",Pre-Seed,"₹ 1,60,00,000.00",Agility Ventures,2,,Vineet Gupta,,,
IOTECHWORLD,Agriculture,Delivery,Gurgaon,Haryana,Manufacturer of wide range of drones. Starting from Photography to Surveillance to Survey to Agriculture to Heavy Logistic.,122001,—,"Apr 17, 2017",www.iotechworld.com/,2,Anup Kumar Upadhyay,251-500,1,Seed,"Sep 3, 2021","$ 40,00,000.00",Seed,"$ 40,00,000.00",,—,Deepak Bhardwaj,,,,
WorkOnGrid,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,WorkOnGrid is an information technology and services company. It is to help businesses adopt technology through products and more.,560102,—,2017,www.workongrid.com/,4,Aayush Agrawal,Nov-50,2,Seed,"May 31, 2022","$ 7,00,000.00",Seed,"$ 8,50,000.00",Indian Angel Network,6,Shaurya Poddar,KRS Jamwal,Startup-O,Jaideep Mehta,Shalil Gupta
BBETTER,Dietary Supplements,Health Care,Hyderabad,Andhra Pradesh,Developer of healthcare supplements designed to help with modern lifestyle problems.,500038,—,2017,bbetter.co,3,Rajesh Jampana,51-100,2,Seed,"Dec 1, 2021","₹ 10,50,00,000.00",Seed,"₹ 12,95,00,000.00",8i Ventures,2,Srikanth Ch,Sujayath Ali,,,
Verzeo,E-Learning,,Bangalore,Karnataka,Verzeo is anAI-focussed edtech startup.,560102,$1M to $10M,2017,verzeo.com,1,Vungarala Subrahmanyam,501-1000,2,Early Stage Venture,"Sep 10, 2018","$ 50,00,000.00",Series A,"$ 50,00,000.00",,—,,,,,
The Mumum Co.,Food and Beverage,Manufacturing,Mumbai,Maharashtra,The Mumum Co. is a healthful snack manufacturer brand for kids.,400086,$1M to $10M,Sep-17,www.mumumco.com/,2,Farah Nathani Menzies,Nov-50,1,Seed,"Jul 13, 2018","₹ 3,40,00,000.00",Angel,"₹ 3,40,00,000.00",Siddharth Parekh,3,Shreya Lamba,Sumeet Nindrajog,Nisaba Godrej,,
Crysta IVF,Fertility,Health Care,Delhi,India,Crysta is a pregnancy and fertility platform.,—,$1M to $10M,"Sep 1, 2017",crystaivf.com/,2,Dheeraj Jain,",",101-250,2,Seed,"Mar 23, 2021",—,Seed,Alfa Ventures,",,,,",Realtime ventures LLP,,,,
PaisaDukan,Financial Exchanges,Financial Services,Mumbai,Maharashtra,A P2P lending marketplace platform,—,$1M to $10M,2018,www.paisadukan.com/,3,Ambar Kasliwal,Nov-50,4,Seed,"Jul 26, 2019",—,Seed,"$ 11,01,009.00",JITO Incubation and Innovation Foundation (JIIF),3,Neeta Ranjan,Manoj Mehta,Sunil Singhvi,,
WorkEx,Human Resources,Recruiting,Bengaluru,Karnataka,WorkEx is a human digital resources platform.,560078,$1M to $10M,2017,www.workex.jobs/,3,Anupam Acharya,51-100,1,Early Stage Venture,"Jul 26, 2019","$ 40,00,000.00",Series A,"$ 40,00,000.00",Pravega Ventures,1,Nimish Sharma,,,,
Edgistify,Information Technology,Logistics,Thane,Maharashtra,"Edgistify is a warehousing network, enabling hyperlocal order fulfillment and ecommerce order fulfillment.",400604,—,"May 15, 2017",www.edgistify.com/,3,Antim Suman,Nov-50,3,Seed,"Dec 4, 2022","$ 9,00,000.00",Seed,"$ 16,00,000.00",,—,Kamal Kishore Kumawat,,,,
TABP Snacks and Beverages,Food and Beverage,,Coimbatore,Tamil Nadu,"TABP Snacks and Beverages, manufactures snacks, healthy breakfast cereals, millets, and juices.",641035,—,2018,tabp.co.in/,—,,Nov-50,1,Seed,"Feb 9, 2023","₹ 20,00,00,000.00",Seed,"₹ 20,00,00,000.00",LC Nueva Investment Partners,4,,Arun Mukherjee,Aniruddha Sarkar,Koushik Chatterjee,
Benovymed Healthcare,Artificial Intelligence (AI),Blockchain,Delhi,Delhi,"Benovymed Healthcare is World's Top 20 & India's No:1 Most Impactful DeepTech Startup in Digital Health, AI Health & Telemedicine Innovation",—,$1M to $10M,Nov-17,www.benovymed.com,,,,,,,,,,,,,,,,
"India & other Global Locations.\"",—,—,3,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/benovymed-healthcare,Mahendra Singh,https://www.crunchbase.com/person/mahendra-singh-2ab4,1,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/benovymed-healthcare,,,,,,,,,,,,,,,,
Ashnni Motors,Automotive,Electric Vehicle,Pune,Maharashtra,Ashnni Motors engineers and manufactures intelligent electric vehicles.,—,Less than $1M,Jan 1","2017""",www.ashnni.com/,2,Subodh Karunasagar,01-Oct,2,Seed,"May 13, 2023","₹ 2,00,00,000.00",Pre-Seed,"₹ 2,00,00,000.00",Department of Science and Technology,6,Vishal Mali,WealthTrust Capital Services,Dawson Menezes,Alisha Poonawalla Menezes,Pushpak Ranka,,,,,,,
Avenue Growth,Advertising,Business Development,Gurgaon,Haryana,Avenue Growth  an online platform that brands with freelance sales professionals .,—,$1M to $10M,2017,www.avenuegrowth.com/,2,Dilkash Malhotra,Nov-50,3,Seed,"Feb 9, 2023",—,Seed,"₹ 3,00,00,000.00",ITI Growth Opportunities Fund,8,Rachit Mathur,OneValley,India Accelerator,Brand Capital,Aditya Malik
Meras Plugins,Charging Infrastructure,Industrial Manufacturing,Chennai,Tamil Nadu,Meras Plugins is a manufacturer of charging stations for electric vehicles.,600113,$1M to $10M,2018,www.merasplugins.com/,—,,01-Oct,1,Seed,"Dec 20, 2022","₹ 3,63,00,000.00",Seed,"₹ 3,63,00,000.00",Bluehill Capital,6,,Meera Reddy,Kartik Meyyappan,Shailaja Reddy,Sivadas Raghava
Fashor,Apparel,E-Commerce,Mumbai,Maharashtra,Fashor is an apparel and fashion company that specializes in providing embroiled clothes for ladies in India.,—,Less than $1M,2017,fashor.com/,3,Priyanka Kankaria,101-250,2,Seed,"Jan 2, 2020","$ 10,00,000.00",Seed,"$ 17,50,000.00",Inflection Point Ventures,5,Sonsy Singhi,Venture Catalysts,Sprout Venture Partners,Mitesh Shah,Vinay Bansal
Entrackr,Communities,CRM,Gurgaon,Haryana,"Entrackr is a new age media platform for entrepreneurs, startups and technology enthusiasts.",—,—,"Jan 1, 2017",www.entrackr.com,2,Jai Vardhan,Nov-50,1,Seed,"Feb 8, 2021","$ 5,00,000.00",Seed,"$ 5,00,000.00",Vijay Shekhar Sharma,11,Jitendra Singh,Ashutosh Valani,Ankush Nijhawan,Priyank Shah,Bipin Shah
Kraftshala,EdTech,Education,New Delhi,Delhi,Kraftshala is a online skilling platform for non-coding domains.,—,—,"Jan 1, 2017",kraftshala.com,2,Eshu Sharma,51-100,2,Seed,"Dec 20, 2021","$ 2,00,000.00",Pre-Seed,"$ 3,00,000.00",Phanindra Sama,6,Varun Satia,Sujayath Ali,Amit Kumar Agarwal,Nandu Nandkishore,Sarfaraz Khimani
Burgerama,Food and Beverage,Snack Food,Gurgaon,Haryana,"Burgerama provides fast-casual, made for delivery burger experience.",122009,$1M to $10M,2018,www.burgerama.in/,3,Kabir Bose,01-Oct,2,Seed,"Jan 31, 2022","₹ 5,00,00,000.00",Seed,"₹ 5,00,00,000.00",Ashvin Chadha,7,Viraaj Badhwar,Bikky Khosla,Anicut Angel Fund,Atul Singh,Madison Capital
Aham Housing Finance,Consumer Lending,Credit,Chennai,Tamil Nadu,Aham Housing Finance is a financial services firm that offers home loans.,600002,$1M to $10M,2017,www.ahamhfc.com,1,Venkatesh Kannappan,51-100,1,—,"Nov 2, 2023","₹ 30,00,00,000.00",Venture - Series Unknown,"₹ 30,00,00,000.00",Negen Capital Services,1,,,,,
PeAr Technologies,Apps,Artificial Intelligence (AI),Ghatkopar,Maharashtra,PeAr Technologies is a deep-tech and artificial intelligence-focussed startup,—,$1M to $10M,2018,www.peartech.in/,4,Dharmin Vora,Nov-50,3,Seed,"Mar 16, 2023","₹ 4,20,00,000.00",Seed,"$ 9,21,901.00",Venture Catalysts,4,Dhruvesh Mehta,1Crowd,Sprint Vc,IPV Capital,
Haus and Kinder,Baby,,Mumbai,Maharashtra,Haus & Kinder is an online retailer of trendy baby and kids essentials at fair price easily accessible.,400060,$1M to $10M,2018,hausandkinder.com,2,Kanupriya Anand,Nov-50,1,Early Stage Venture,"Dec 15, 2021","₹ 10,00,00,000.00",Series A,"₹ 10,00,00,000.00",Shaival Desai,1,Saket Dhankar,,,,
Dawaa Dost,Alternative Medicine,Medical,Jaipur,Rajasthan,Dawaa Dost specializes in the pharmacy retail chain of generic medicines in India.,—,—,2018,dawaadost.com,2,Amit Choudhary,01-Oct,3,—,"Jan 24, 2023","$ 40,00,000.00",Venture - Series Unknown,"$ 40,00,000.00",Grameen Impact India (GIII),17,Yash Harlalka,Kunal Shah,Ashish Goel,Amrish Rau,Singapore Angel Network
Ecoil,Clean Energy,Logistics,Jaipur,Rajasthan,Ecoil is a cutting-edge environmentally conscious startup that produces gasoline.,302021,—,2018,www.ecoil.in,—,,Nov-50,1,—,"Dec 27, 2023","₹ 3,00,00,000.00",Venture - Series Unknown,"₹ 3,00,00,000.00",The Chennai Angels,3,,Shell E4,Banasthali Vidyapith,,
Enerjazz,Battery,Charging Infrastructure,Noida,Uttar Pradesh,Enerjazz provides a battery swapping network for commercial electric vehicles.,—,—,2018,www.enerjazz.tech,1,Ravi Bharihoke,01-Oct,1,Seed,"Aug 31, 2021","$ 1,25,000.00",Pre-Seed,"$ 1,25,000.00",Y Combinator,1,,,,,
BRB,Food and Beverage,Food Processing,New Delhi,Delhi,BRB is a food manufacturing company that is good for snacks.,—,Less than $1M,2018,brbchips.com/,4,Abhishek Agarwal,01-Oct,2,Seed,"Jul 1, 2020","$ 10,00,000.00",Seed,"$ 10,00,000.00",First Cheque,5,Anuj Krishan,Globevestor,Secocha Ventures,Kashyap Deorah,Vijay Sivaram
Nuo,Cryptocurrency,Financial Services,Mumbai,Maharashtra,"Nuo is a financial control center to store, spend, and grow your crypto.",—,Less than $1M,2018,www.nuo.network/,3,Ratnesh Ray,Nov-50,2,Seed,"Apr 4, 2020","$ 30,00,000.00",Seed,"$ 32,50,000.00",Polychain,16,Siddharth Verma,ConsenSys,Dragonfly,Surge,Balaji Srinivasan
nCore Games,Gaming,Online Games,Bengaluru,Karnataka,nCore Games is a mobile games and interactive entertainment company.,560098,—,"Jan 1, 2018",www.ncoregames.com/,1,Ganesh Hande,Nov-50,1,Early Stage Venture,"Jan 17, 2022","$ 1,00,00,000.00",Series A,"$ 1,00,00,000.00",Animoca Brands,18,,Galaxy Interactive,Kristian Segerstrale,Akshay Chaturvedi,Sohil Chand
Clairco,Electronics,Information Technology,Bangalore,Karnataka,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,560102,Less than $1M,"Jan 1, 2018",clairco.in,1,Aayush Jha,Nov-50,4,Seed,"Feb 9, 2022","$ 10,00,000.00",Seed,"$ 15,72,613.00",AngelList,5,,HEM ANGELS,Brigade Real Estate Accelerator Program (REAP),Max Group,Sanjiv Bajaj
Jai Kisan,Agriculture,AgTech,Mumbai,Maharashtra,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets.,410210,$10M to $50M,2017,jai-kisan.com/,2,Adriel Maniego,251-500,11,—,"Jan 1, 2023","$ 30,20,000.00",Venture - Series Unknown,"$ 9,87,62,400.00",Mirae Asset,29,Arjun Ahluwalia,BlackSoil,British International Investment,Blume Ventures,Northern Arc
Pocket52,Gaming,Internet,Bengaluru,Karnataka,Pocket52  is an online poker platform.,560102,$10M to $50M,2017,www.pocket52.com/,4,Debashish Bhattacharjee,Nov-50,2,Early Stage Venture,"Jun 2, 2020","$ 17,50,000.00",Series A,"$ 17,50,000.00",Speciale Invest,2,Nitesh Salvi,GamesKraft,,,
Solara Active Pharma,Biotechnology,Manufacturing,Chennai,Tamil Nadu,"Solara Active Pharma Sciences is a young, dynamic, entrepreneurial and customer oriented API manufacturer.",600 032,$50M to $100M,"Feb 23, 2017",www.solara.co.in/,1,Jitesh Devendra,251-500,1,Private Equity,"Feb 4, 2019","$ 3,00,00,000.00",Private Equity,"$ 3,00,00,000.00",TPG Growth,1,,,,,
Biocliq Technologies,Health Care,Software,Bengaluru,Karnataka,"Biocliq Technologies is a Digital health platform  that enables Clinicians, patients, pharmacists and OEMs to Collaborate",560043,$1M to $10M,"Feb 18, 2018",www.biocliq.com/,2,N. Ravichandran,Nov-50,2,Seed,"Apr 1, 2023","$ 6,50,000.00",Pre-Seed,"$ 6,50,000.00",10000 Start-Ups,1,Rengarajan Bashyam,,,,
Nojoto,Communities,Social Media,Gurgaon,Haryana,Nojoto is a Video Storytelling Platform connecting Storytellers & Listeners in 12 Languages,—,$1M to $10M,"Apr 6, 2017",nojoto.com,4,Amit Kumar,Nov-50,1,Seed,"Dec 1, 2018","$ 5,70,000.00",Seed,"$ 5,70,000.00",,—,Kamal Singh Chauhan,,,,
Happy Nature,Fast-Moving Consumer Goods,Food and Beverage,Gurgaon,Haryana,"We are A Premium D2C Fresh Food Brand with a strong focus on purity, freshness & convenience.",122001,$1M to $10M,2017,www.happynature.in/,—,,101-250,1,Seed,"Nov 16, 2023","$ 3,00,000.00",Seed,"$ 3,00,000.00",Inflection Point Ventures,1,,,,,
Aerostrovilos Energy,Energy,Environmental Engineering,Madras,Tamil Nadu,Aerostrovilos Energy is building an MGT-based powertrain solution for heavy-duty trucks and power generation at reduced costs.,—,Less than $1M,2017,www.aerostrovilos.com/,—,,01-Oct,1,Seed,"Jan 18, 2022","₹ 3,50,00,000.00",Seed,"₹ 3,50,00,000.00",Tube Investments of India,1,,,,,
SportsApp,Internet,Social Network,Noida,Uttar Pradesh,India's Largest Sports Community For Everything Sports!,201301,Less than $1M,"Mar 23, 2018",www.sportsapp.co.in,1,Shashank Mishra,Nov-50,4,Seed,"Dec 20, 2021","$ 2,00,000.00",Seed,"$ 3,74,000.00",,—,,,,,
Mudrex,Asset Management,Blockchain,Bengaluru,Karnataka,Mudrex is a cryptocurrency investment platform trusted by over 1 million investors!,5601025,—,"Jan 2, 2018",mudrex.com,5,Alankar Saxena,51-100,5,—,"Aug 1, 2022","$ 1,23,19,245.00",Venture - Series Unknown,"$ 2,20,69,245.00",Y Combinator,11,Edul Patel,Nexus Venture Partners,Woodstock Fund,Tribe Capital,Arkam Ventures
Rheo TV,Gaming,TV,Bengaluru,Karnataka,Rheo TV is a game-streaming platform.,560102,Less than $1M,2018,www.rheotv.com/,1,Saksham Keshri,Nov-50,2,M&A,"Jan 8, 2020","$ 20,00,000.00",Seed,"$ 20,00,000.00",Lightspeed Venture Partners,11,,Blume Ventures,Omidyar Network,Surge,Peak XV Partners
Scentials,Advertising,Beauty,Mumbai,Maharashtra,Scentials is building a unique beauty brands studio platform.,—,$1M to $10M,2018,www.scentialsworld.com,1,Mahesh Bhupathi,Nov-50,3,Early Stage Venture,"Feb 9, 2021","$ 60,00,000.00",Series B,"$ 1,00,04,561.00",Unilever Ventures,4,,TIW Private Equity,Goutham Ekollu,Ambiga Subramanian,
F5 Refreshement,Food and Beverage,,New Delhi,Delhi,F5 Refreshement is a foods and beverages company.,110005,$50M to $100M,2018,www.f5refreshment.com/,2,Lalit Aggarwal,51-100,4,Seed,"Oct 11, 2021","$ 6,66,000.00",Seed,"$ 16,37,291.00",AngelList,8,Raghav Arora,Venture Catalysts,LetsVenture,Huddle,Auxano
A Toddler Thing,Apparel,Baby,Coimbatore,Tamil Nadu,A Toddler Thing provides sustainable baby essentials and apparels.,641012,—,2017,www.atoddlerthing.com/,—,,Nov-50,1,Seed,"Jan 5, 2023","₹ 2,20,00,000.00",Seed,"₹ 2,20,00,000.00",The Chennai Angels,3,,Mumbai Angels,Lead Angels Network,,
Skilancer Solar,Artificial Intelligence (AI),CleanTech,Noida,Uttar Pradesh,"Skilancer is a centrally controlled, self-powered, robot for automatic cleaning of solar panels with elements of Artificial Intelligence.",201307,$1M to $10M,"Jul 13, 2017",www.skilancersolar.com/,2,Manish Das,Nov-50,7,Seed,"Nov 20, 2021",—,Seed,"$ 6,52,423.00",Venture Catalysts,6,Neeraj Kumar,Boundary Holding,Dhianu Das,Alfa Ventures,IIML- Enterprise Incubation Centre
Wastelink,Animal Feed,Cloud Computing,New Delhi,Delhi,Transforming food waste into nutritious feed for animals,110030,Less than $1M,Jan-18,www.wastelink.co,2,Krishnan Kasturirangan,51-100,2,Seed,"May 22, 2022","$ 10,00,000.00",Seed,"$ 12,50,000.00",Indigram Labs,2,Saket Dave,Sanjiv Rangrass,,,
Hospals,Health Care,Medical,New Delhi,Delhi,Hospals is a medical tourism company.,110025,$1M to $10M,"Mar 12, 2018",hospals.com/,1,Danish Ahmed,Nov-50,3,Seed,"Jan 24, 2022","$ 35,00,000.00",Seed,"$ 50,00,000.00",Inflection Point Ventures,8,,9Unicorns Accelerator Fund,Venture Catalysts,Wavemaker Partners,InnoVen Capital
Finception,Financial Services,FinTech,Bangalore,Karnataka,Finception is currently working on building a product around managing and helping people plan their finances better.,—,$1M to $10M,2018,finception.in/,3,Bhanu Harish Gurram,01-Oct,1,Seed,"Sep 25, 2019","₹ 4,00,00,000.00",Seed,"₹ 4,00,00,000.00",Rainmatter Capital,1,Pawan Kumar Rai,,,,
Loco,Apps,Blockchain,Mumbai,Maharashtra,India's leading game streaming platform,—,$1M to $10M,"Nov 1, 2017",www.loco.gg/,6,Abhishek Madhavan,51-100,2,M&A,"Mar 9, 2022","₹ 3,30,00,00,000.00",Series A,"$ 5,23,43,970.00",Hashed,12,Anirudh Pandita,Krafton,3one4 Capital,Axilor Ventures,Kube VC
Agrograde,Agriculture,AgTech,Mumbai,Maharashtra,Agrograde automates the grading and sorting process of fruits and vegetables by using computer vision.,400703,—,"Feb 10, 2018",www.agrograde.com,2,Kshitij Thakur,01-Oct,4,Seed,"Jul 4, 2022",—,Seed,"₹ 2,35,00,000.00",IIMA Ventures,4,Rakeshkumar Barai,Social Alpha,Villgro,Villgro USA,
Table Space,Commercial Real Estate,Coworking,Bengaluru,Karnataka,Table Space provides customized coworking spaces.,560029,$1M to $10M,Sep-17,tablespace.com,1,Amit Banerji,101-250,1,Private Equity,"Nov 28, 2022","$ 30,00,00,000.00",Private Equity,"$ 30,00,00,000.00",Hillhouse Investment,1,,,,,
Progcap,Enterprise,Finance,New Delhi,Delhi,Progcap is a financial service company that provides financial opportunities for micro and small businesses.,110049,Less than $1M,2017,www.progcap.com,2,Himanshu Chandra,251-500,7,Late Stage Venture,"Oct 17, 2022","₹ 4,00,00,00,000.00",Series C,"$ 15,06,24,557.00",Google,15,Pallavi Shrivastava,9Unicorns Accelerator Fund,Venture Catalysts,Tiger Global Management,Stride Ventures
