company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,no of investor,founder2,investor2,investor3,investor4,investor5
Billebon,E-Commerce,,Ghaziabad,Uttar Pradesh,"Billebon is a lingerie online shop in India, crafting products for women and upholding the idea of INDIA for INDIA!",201012,—,"Feb 27, 2017",billebon.com/,—,,Nov-50,1,Seed,"Feb 1, 2019",—,Angel,—,,—,,,,,
Soxytoes,E-Commerce,,Noida,Uttar Pradesh,Soxytoes online store for unique socks.,201301,$1M to $10M,2017,soxytoes.com/,2,Aayush Goenka,01-Oct,1,Seed,"Mar 4, 2020",—,Angel,—,Sorabh Agarwal,3,Vidushi Kajaria,Vikas Bagaria,Hemant Dua,,
InfraKraft,Consulting,Training,Bengaluru,Karnataka,InfraKraft is a consulting firm that provides solutions for handicraft industries by creating infrastructure.,—,—,"Jan 1, 2018",www.infrakraft.com,1,Bhaskar patnaik,01-Oct,1,Private Equity,"Jan 1, 2022",—,Private Equity,—,Trill Impact,1,,,,,
Blue Vector,Advertising,Marketing,Gurgaon,Haryana,Blue Vector is a group of creative brands.,122011,—,2017,bluevector.co,1,Piyush Kedia,Nov-50,1,Seed,"Jul 31, 2017",—,Pre-Seed,—,,—,,,,,
Prabhuji Online,Delivery Service,E-Commerce,Kolkata,West Bengal,Prabhuji Online is a daily hyper local delivery platform for fresh flowers and Pooja items.,700136,—,2017,www.prabhujionline.com/,1,Manishpal Singh,—,1,Seed,"Jun 30, 2021",—,Seed,—,Somya Bajaj,7,,Rahul Tayal,Ujjwal Deepak,Jaspreet Bhatia,Sahil Mohta
InWara,Blockchain,Business Intelligence,Bengaluru,Karnataka,The most trusted blockchain and crypto market intelligence platform,560095,—,2017,inwara.com,—,,Nov-50,1,Seed,"Jan 1, 2017",—,Pre-Seed,—,,—,,,,,
Molitics,Apps,Journalism,Gurgaon,Haryana,Molitics is the Media of Politics. Molitics wants every User to be able to have a truly personalised online experience,122002,—,2018,www.molitics.in/,—,,101-250,1,Seed,"Mar 28, 2022",—,Seed,—,Saamag Group,1,,,,,
Cuddl,Retail,,Bangalore,Karnataka,Cuddl is a Pillow Company.,560035,—,2017,cuddl.in,1,Shashank Palli,01-Oct,1,Seed,"Jan 9, 2019",—,Seed,—,Axilor Ventures,1,,,,,
NexConnect,E-Learning,Education,Kolkata,West Bengal,NexConnect Ventures Pvt Ltd is a social business venture.,—,—,"Feb 17, 2017",www.nexconnectventures.com/,3,Arina Bardhan,Nov-50,1,Seed,"Jan 1, 2019",—,Seed,—,IIM Calcutta Innovation Park,1,Jayanta Basak,,,,
Design Charrette,Architecture,Interior Design,Indore,Madhya Pradesh,Design Charrette is an architectural and interior design firm.,452010,—,2018,www.thedesigncharrette.com/,4,Ajanta Dube,01-Oct,1,Seed,"Mar 26, 2020",—,Pre-Seed,—,Electropreneur Park,1,Apurva Bhadouria,,,,
Microchip Payments,Apps,Internet,Bangalore,Karnataka,Microchip payments  is a mobile-based payment application and point-of-sale device,—,Less than $1M,2017,microchippayments.com/,1,Farhan Firaq,01-Oct,2,Seed,"May 13, 2019",—,Seed,—,Sandbox Startups,2,,GenNext Ventures,,,
AgroSonic Solutions,Agriculture,AgTech,Pune,Maharashtra,AgroSonic Solutions is an agro-based software company that produces livestock management software and services.,411004,—,2018,agrosonic.in/,—,,01-Oct,1,Seed,"Jan 1, 2022",—,Seed,—,Pontaq,1,,,,,
