Company,Funding Round,Amount,Date,RupeesAmount
WAAYU,Seed,—,"May 10, 2023",0
Wellbeing Nutrition,Grant,"$100,000","Aug 16, 2021",7500000
Slurrp Farm,Grant,"$100,000","Aug 16, 2021",7500000
Sirona Hygiene,Grant,"$100,000","Aug 16, 2021",7500000
Orange Health Labs,Seed,"$125,000","Aug 24, 2020",9375000
Green Grahi,Pre-Seed,—,"Jul 12, 2023",0
HighXP,Seed,"₹181,000,000","Jun 13, 2023",181000000
AndesInfra Solutions,Seed,"₹85,000,000","Jul 12, 2023",85000000
Algo Engines,Non-equity Assistance,—,"Jan 1, 2023",0
LoveLocal (formerly m.Paani),Series B,"₹1,430,000,000","Oct 28, 2021",1430000000
Akasa Labs,Non-equity Assistance,—,"Jan 1, 2023",0
Scapia,Seed,"₹740,000,000","Jun 28, 2023",740000000
1Mobility,Non-equity Assistance,—,"Jan 1, 2023",0
Zippee,Venture - Series Unknown,"$1,600,000","Jun 28, 2023",120000000
Edurupt,Seed,"$250,000","Aug 23, 2022",18750000
Everest Fleet,Corporate Round,"$20,000,000","Jun 14, 2023",1500000000
Crypto Corsairs,Grant,—,"May 30, 2023",0
BluSmart Mobility,Series A,"$37,000,000","May 4, 2023",2775000000
Course5 Intelligence,Private Equity,"$53,000,000","May 18, 2023",3975000000
LLMate,Pre-Seed,"$271,170","Jun 30, 2021",20337750
Kinderpass,Seed,—,"Jan 1, 2018",0
DusMinute,Convertible Note,"₹115,000,000","Jul 20, 2023",115000000
SmartDukaan,Seed,"$10,000,000","Jul 10, 2023",750000000
Sheru,Non-equity Assistance,—,"Aug 11, 2022",0
The Yarn Bazaar,Seed,"₹150,000,000","Jun 19, 2023",150000000
Rubick.ai,Funding Round,"₹200,000,000","Jun 6, 2022",200000000
Craftsman Automation,Venture - Series Unknown,"₹850,000,000","Aug 1, 2012",850000000
Sitesoda Web Solution,Debt Financing,"₹2,500,000","Feb 3, 2023",2500000
Prime Focus,Venture - Series Unknown,—,"Nov 1, 2012",0
TBO Group,Venture - Series Unknown,—,"Sep 1, 2018",0
PYOR,Seed,"₹330,000,000","May 18, 2023",330000000
Mahindra Electric Automobile,Funding Round,"₹19,250,000,000","Jul 7, 2022",19250000000
Dojima Network,Venture - Series Unknown,—,"May 20, 2023",0
GreenPod Labs,Non-equity Assistance,—,"Jan 1, 2021",0
Padcare Labs,Non-equity Assistance,—,"Jan 1, 2020",0
Third Wave Coffee,Series B,"$21,000,000","May 1, 2022",1575000000
Moonshine Meadery,Seed,"₹55,000,000","Jul 5, 2023",55000000
Looppanel,Pre-Seed,"₹75,900,000","Mar 17, 2022",75900000
Ouranos Robotics,Seed,—,"Jan 1, 2022",0
E-panipurii Kartz,Venture - Series Unknown,—,"Jan 1, 2022",0
ARMS 4 AI,Venture - Series Unknown,—,"Jan 1, 2022",0
InterviewAir,Venture - Series Unknown,—,"Jan 1, 2022",0
Learning Matters,Venture - Series Unknown,—,"Jan 1, 2022",0
Schooglink Private Limited,Venture - Series Unknown,—,"Jan 1, 2022",0
Primary Healthtech,Venture - Series Unknown,—,"Jan 1, 2022",0
DigitalPaani,Seed,—,"Jan 1, 2023",0
Ekosight Technologies,Seed,—,"Jan 1, 2022",0
Mainstreet,Seed,"$2,000,000","Jun 26, 2023",150000000
Felis Leo Ventures,Venture - Series Unknown,—,"Jan 1, 2022",0
FxUAV Technologies,Seed,—,"Jan 1, 2022",0
Dweepi Innovations,Venture - Series Unknown,—,"Jan 1, 2022",0
R2E Technologies,Venture - Series Unknown,—,"Jan 1, 2022",0
RefillBot,Venture - Series Unknown,—,"Jan 1, 2022",0
AgroSonic Solutions,Seed,—,"Jan 1, 2022",0
Suhora,Venture - Series Unknown,—,"Jan 1, 2022",0
Arficus,Venture - Series Unknown,—,"Jan 1, 2022",0
Arms4AI,Venture - Series Unknown,—,"Jan 1, 2022",0
Spk-Mak Technologies,Seed,—,"Jan 1, 2022",0
Electromotion E-Vidyut Vehicles,Venture - Series Unknown,—,"Jan 1, 2022",0
Myneibo,Seed,—,"Jan 1, 2022",0
Shreem Datatech Solutions Private Limited,Venture - Series Unknown,—,"Jan 1, 2022",0
codedamn,Pre-Seed,"$175,000","Jul 8, 2021",13125000
ThinkRaw India,Venture - Series Unknown,—,"Jan 1, 2022",0
SilverGenie,Seed,—,"Jan 1, 2022",0
DeepVisionTech.AI,Venture - Series Unknown,—,"Jan 1, 2022",0
Revolut Healthtech,Seed,—,"Jan 1, 2022",0
MLIT Solutions,Venture - Series Unknown,—,"Jan 1, 2022",0
Uma Robotics,Pre-Seed,—,"Sep 27, 2022",0
TalentDecrypt,Venture - Series Unknown,—,"Jan 1, 2022",0
Shomish,Seed,—,"Jan 1, 2022",0
TalentSpotify,Seed,—,"Dec 1, 2022",0
Cognosia,Venture - Series Unknown,—,"Jan 1, 2023",0
KisanKraft,Angel,"$40,000","Jan 1, 2006",3000000
GoVidyouth Mobility,Venture - Series Unknown,—,"Jan 1, 2022",0
Neuranics Lab,Seed,—,"Jan 1, 2022",0
Manodayam,Seed,—,"Jan 1, 2022",0
Yoobbel,Seed,—,"Jan 1, 2022",0
Bookzy,Seed,—,"Jan 1, 2022",0
Unnati,Series B,"₹285,000,000","Jun 14, 2023",285000000
FXDX,Seed,"$570,000","Sep 29, 2021",42750000
Banzan Ventures,Venture - Series Unknown,—,"Jan 1, 2023",0
MaxByte Technologies,Venture - Series Unknown,—,"Oct 23, 2019",0
Volt Money,Pre-Seed,"₹123,000,000","Jun 20, 2023",123000000
Krishigati,Seed,—,"Jan 1, 2022",0
EV Urjaa,Venture - Series Unknown,—,"Jan 1, 2023",0
Xomoy Innovatives,Seed,—,"Jan 1, 2022",0
Kaigal.com,Venture - Series Unknown,—,"Jan 1, 2022",0
humblX,Venture - Series Unknown,—,"Jan 1, 2023",0
Les Aider Wellness,Seed,—,"Jan 1, 2022",0
Codebugged,Venture - Series Unknown,—,"Jan 1, 2023",0
Clarila Technologies,Seed,—,"Jan 1, 2022",0
Inofinity R&D,Venture - Series Unknown,—,"Jan 1, 2023",0
Arkision AI,Venture - Series Unknown,—,"Jan 1, 2022",0
Ecoprosus,Venture - Series Unknown,—,"Jan 1, 2022",0
Gofresh,Venture - Series Unknown,—,"Jan 1, 2023",0
Utkarsh Small Finance Bank,Debt Financing,"$22,090,000","Jan 1, 2017",1656750000
Brenin,Venture - Series Unknown,—,"Jan 1, 2023",0
CashCry,Venture - Series Unknown,—,"Jan 1, 2023",0
Black Eye Technologies,Seed,—,"Jan 1, 2022",0
Carbonout Techcom,Seed,—,"Jan 1, 2023",0
RaamSetu Agrotech,Seed,—,"Jan 1, 2022",0
OSCB Solutions,Seed,—,"Jan 1, 2023",0
BigOHealth,Venture - Series Unknown,—,"Jan 1, 2023",0
Shree Raj Govind Technologies,Seed,—,"Jan 1, 2022",0
Axlemechanic Technologies,Seed,—,"Jan 1, 2022",0
AgroStar,Venture - Series Unknown,"$504,930","May 1, 2023",37869750
Utkarsh Small Finance Bank,Venture - Series Unknown,"$10,610,000","Dec 1, 2014",795750000
Vidality Gobal Health,Seed,—,"Jan 1, 2023",0
CogniCue,Seed,—,"Jan 1, 2022",0
Utkarsh Small Finance Bank,Venture - Series Unknown,"$3,280,000","Nov 1, 2017",246000000
Jobskul,Venture - Series Unknown,—,"Jan 1, 2023",0
Clotech Innovations,Seed,—,"Jan 1, 2023",0
AvalonMeta Ventures,Seed,"$50,000","May 25, 2021",3750000
Fides Medtech,Seed,—,"Jan 1, 2022",0
Tata Capital,Debt Financing,"$30,000,000","Dec 1, 2020",2250000000
Julien Innovations,Venture - Series Unknown,—,"Jan 1, 2022",0
Tan90,Seed,"₹113,200,000","May 31, 2023",113200000
Roserve,Debt Financing,"$9,750,000","Dec 1, 2019",731250000
GoApptiv,Pre-Seed,—,"Mar 1, 2016",0
Coratia Technologies,Seed,—,"Jan 1, 2022",0
Basic Home Loan,Series B,"₹385,000,000","Jun 14, 2023",385000000
BigBasket,Venture - Series Unknown,"$11,600,000","Jul 1, 2021",870000000
Rainbow Hospitals,Debt Financing,"$14,950,000","Aug 1, 2016",1121250000
Jyoti International Foods,Private Equity,"₹1,070,000,000","Jun 23, 2020",1070000000
Cloudbankin,Venture - Series Unknown,"$400,000","Jun 14, 2023",30000000
56,Pre-Seed,—,"Aug 9, 2021",0
Narayana Hrudayalaya,Post-IPO Debt,"$1,250,000","Oct 1, 2018",93750000
Manipal Group,Venture - Series Unknown,"$58,900,000","Jan 1, 2017",4417500000
The Sanmar Group,Venture - Series Unknown,"$300,000,000","Apr 8, 2016",22500000000
The Sanmar Group,Debt Financing,—,"Apr 8, 2016",0
RBL Bank,Post-IPO Equity,"$11,570,000","Aug 1, 2020",867750000
Yatharth Super Speciality Hospitals,Funding Round,"₹1,200,000,000","Jul 8, 2023",1200000000
Funstop Games,Seed,"$1,500,000","Apr 23, 2023",112500000
FreshBus,Seed,"₹160,000,000","Nov 1, 2022",160000000
HealthifyMe,Series D,"$30,000,000","Jun 7, 2023",2250000000
Nestroots,Seed,"$100,000","Jul 2, 2021",7500000
Osam Dairy,Venture - Series Unknown,"$7,920,000","Jun 1, 2019",594000000
Green Infra Ltd.,Private Equity,"$24,930,000","Oct 1, 2013",1869750000
Newtrace,Seed,"₹467,000,000","May 31, 2023",467000000
NIKOL EV,Pre-Seed,—,"Apr 1, 2023",0
HealthCare Global Enterprises.,Venture - Series Unknown,"$5,250,000","Jun 1, 2017",393750000
Jana Small Finance Bank,Private Equity,"₹5,600,000,000","Jun 28, 2023",5600000000
EventBeep,Funding Round,"₹3,000,000","Jan 7, 2022",3000000
IIFL Finance,Post-IPO Debt,"$150,080,000","Sep 1, 2016",11256000000
Wysa,Non-equity Assistance,—,"Jan 18, 2022",0
